# phi u x y
76.25 1 0.658648 0.752452
76.35 1 0.580237 0.814447
76.45 1 0.496029 0.868306
76.55 1 0.406865 0.913488
76.65 1 0.313636 0.949543
76.75 1 0.217273 0.976111
76.85 1 0.118739 0.992925
76.95 1 0.0190189 0.999819
77.05 1 -0.0808915 0.996723
77.15 1 -0.179994 0.983668
77.25 1 -0.277297 0.960784
77.35 1 -0.37183 0.928301
77.45 1 -0.462648 0.886542
77.55 1 -0.548843 0.835925
77.65 1 -0.629555 0.776956
77.75 1 -0.703976 0.710224
77.85 1 -0.771363 0.636396
77.95 1 -0.831043 0.556208
78.05 1 -0.882419 0.470464
78.15 1 -0.924979 0.380019
78.25 1 -0.958296 0.285776
78.35 1 -0.982039 0.188679
78.45 1 -0.995969 0.0896956
78.55 1 -0.999948 -0.0101835
78.65 1 -0.993936 -0.109961
78.75 1 -0.977993 -0.20864
78.85 1 -0.952278 -0.305234
78.95 1 -0.917048 -0.398778
79.05 1 -0.872655 -0.488338
79.15 1 -0.819543 -0.573018
79.25 1 -0.758242 -0.651973
79.35 1 -0.689365 -0.724414
79.45 1 -0.613601 -0.789616
79.55 1 -0.531705 -0.84693
79.65 1 -0.444497 -0.89578
79.75 1 -0.352848 -0.935681
79.85 1 -0.257673 -0.966232
79.95 1 -0.159923 -0.987129
80.05 1 -0.0605756 -0.998164
80.15 1 0.0393772 -0.999224
80.25 1 0.138936 -0.990301
80.35 1 0.237107 -0.971483
80.45 1 0.332909 -0.942959
80.55 1 0.425385 -0.905012
80.65 1 0.51361 -0.858024
80.75 1 0.596704 -0.802461
80.85 1 0.673835 -0.738882
80.95 1 0.744234 -0.667919
81.05 1 0.807197 -0.590283
81.15 1 0.862094 -0.506749
81.25 1 0.908377 -0.418151
81.35 1 0.945585 -0.325376
81.45 1 0.973344 -0.229349
