# phi u x y
46.3945 0.666809 -1.11818 0.99936
46.4732 0.697147 -1.14135 0.868834
46.5523 0.72952 -1.15288 0.741527
46.6318 0.763751 -1.15395 0.618654
46.7116 0.799646 -1.14576 0.501108
46.7918 0.836993 -1.12948 0.389507
46.8724 0.875565 -1.10619 0.28424
46.9533 0.91512 -1.07689 0.185505
47.0346 0.955404 -1.04251 0.0933553
47.1162 0.99615 -1.00384 0.00772957
47.1981 1.03708 -0.961587 -0.0715144
47.2804 1.07792 -0.916377 -0.144576
47.3629 1.11838 -0.868733 -0.211692
47.4457 1.15816 -0.819105 -0.273121
47.5288 1.19698 -0.767873 -0.329128
47.6122 1.23455 -0.715354 -0.37998
47.6957 1.2706 -0.661814 -0.425936
47.7795 1.30484 -0.60747 -0.467243
47.8635 1.33702 -0.552501 -0.504131
47.9477 1.36688 -0.497052 -0.536813
48.0321 1.3942 -0.441237 -0.565482
48.1166 1.41875 -0.38515 -0.59031
48.2012 1.44035 -0.328861 -0.611449
48.286 1.45882 -0.272426 -0.629028
48.3708 1.47401 -0.215886 -0.643156
48.4558 1.4858 -0.159274 -0.653922
48.5408 1.49409 -0.102613 -0.661392
48.6258 1.49881 -0.0459196 -0.665612
48.7109 1.49993 0.010791 -0.666608
48.7959 1.49744 0.0675066 -0.664386
48.881 1.49135 0.124214 -0.65893
48.966 1.4817 0.180899 -0.650203
49.051 1.46859 0.237541 -0.638149
49.136 1.45211 0.294114 -0.62269
49.2208 1.43238 0.350582 -0.603727
49.3055 1.40958 0.406899 -0.58114
49.3901 1.38388 0.463002 -0.554787
49.4746 1.35548 0.518813 -0.524505
49.559 1.3246 0.574228 -0.490108
49.6431 1.29148 0.62912 -0.451392
49.7271 1.25638 0.683331 -0.408131
49.8108 1.21957 0.736664 -0.360082
49.8944 1.18133 0.78888 -0.306987
49.9777 1.14193 0.83969 -0.248578
50.0607 1.10167 0.888746 -0.184579
50.1435 1.06085 0.935633 -0.114721
50.226 1.01975 0.979862 -0.0387442
50.3081 0.978675 1.02086 0.0435796
50.39 0.937895 1.05796 0.132435
50.4716 0.897692 1.0904 0.227937
50.5528 0.858331 1.11731 0.330103
50.6336 0.820068 1.13772 0.438822
50.7141 0.783143 1.15056 0.553812
50.7942 0.747782 1.15468 0.674577
50.874 0.714193 1.14888 0.800364
50.9533 0.682568 1.13194 0.930113
51.0323 0.653078 1.10266 1.06242
51.1109 0.625879 1.05999 1.19551
51.1891 0.601103 1.00304 1.32722
51.267 0.578865 0.931231 1.45503
51.3445 0.559263 0.844383 1.57614
51.4216 0.542373 0.742808 1.6875
51.4985 0.528258 0.627383 1.78603
51.575 0.516964 0.49959 1.86874
51.6514 0.508521 0.36151 1.93297
51.7276 0.502952 0.215751 1.97652
51.8036 0.500267 0.0653425 1.99786
51.8795 0.500468 -0.0864342 1.99626
51.9555 0.50355 -0.236226 1.9718
52.0315 0.509501 -0.380804 1.92541
52.1077 0.518303 -0.517239 1.85875
52.184 0.529926 -0.643046 1.77411
52.2606 0.544334 -0.756285 1.67422
52.3374 0.561476 -0.855605 1.56204
52.4145 0.581287 -0.940244 1.44064
52.492 0.60369 -1.00998 1.31296
52.5698 0.628586 -1.06506 1.18174
52.648 0.655863 -1.1061 1.04942
52.7265 0.685387 -1.13399 0.918061
52.8054 0.717007 -1.1498 0.789371
52.8848 0.750555 -1.1547 0.664694
52.9644 0.785842 -1.14989 0.54504
53.0445 0.822664 -1.13654 0.431126
53.1249 0.860799 -1.11578 0.323423
53.2057 0.900011 -1.08865 0.222196
53.2869 0.940049 -1.0561 0.127549
53.3684 0.980651 -1.01897 0.0394606
53.4502 1.02155 -0.977999 -0.0421841
53.5323 1.06245 -0.933846 -0.117566
53.6147 1.10309 -0.887069 -0.186908
53.6975 1.14316 -0.838145 -0.250464
53.7805 1.18238 -0.787481 -0.308496
53.8637 1.22046 -0.735416 -0.361274
