# z  cspline(z)  cos(z)  cspline'(z)  -sin(z)  cspline_integ(z)  sin(z)
4.752 0.0405415 0.0396007 0.998192 0.999216 -1.02353 -0.999216
4.77 0.0584984 0.0575792 0.996966 0.998341 -1.02264 -0.998341
4.788 0.0764303 0.075539 0.995406 0.997143 -1.02143 -0.997143
4.806 0.094331 0.0934744 0.993512 0.995622 -1.01989 -0.995622
4.824 0.112195 0.111379 0.991283 0.993778 -1.01803 -0.993778
4.842 0.130015 0.129248 0.98872 0.991612 -1.01585 -0.991612
4.86 0.147787 0.147076 0.985824 0.989125 -1.01335 -0.989125
4.878 0.165503 0.164855 0.982593 0.986318 -1.01053 -0.986318
4.896 0.183158 0.182581 0.979028 0.983191 -1.00739 -0.983191
4.914 0.200746 0.200248 0.975128 0.979745 -1.00394 -0.979745
4.932 0.218261 0.21785 0.970895 0.975982 -1.00017 -0.975982
4.95 0.235696 0.235381 0.966328 0.971903 -0.99608 -0.971903
4.968 0.253046 0.252837 0.961426 0.967509 -0.991681 -0.967509
4.986 0.270305 0.27021 0.95619 0.962801 -0.986971 -0.962801
5.004 0.287467 0.287496 0.950623 0.957782 -0.98195 -0.957782
5.022 0.304526 0.304688 0.944795 0.952452 -0.976622 -0.952452
5.04 0.321478 0.321782 0.938737 0.946814 -0.970988 -0.946814
5.058 0.338319 0.338772 0.932449 0.940869 -0.96505 -0.940869
5.076 0.355045 0.355651 0.925932 0.934619 -0.958809 -0.934619
5.094 0.371652 0.372416 0.919185 0.928066 -0.952269 -0.928066
5.112 0.388135 0.38906 0.912209 0.921212 -0.945431 -0.921212
5.13 0.40449 0.405578 0.905003 0.91406 -0.938297 -0.91406
5.148 0.420713 0.421964 0.897568 0.906612 -0.93087 -0.906612
5.166 0.436801 0.438214 0.889903 0.898871 -0.923152 -0.898871
5.184 0.452748 0.454322 0.882009 0.890838 -0.915146 -0.890838
5.202 0.468552 0.470283 0.873885 0.882516 -0.906854 -0.882516
5.22 0.484207 0.486091 0.865531 0.873908 -0.898279 -0.873908
5.238 0.49971 0.501742 0.856948 0.865018 -0.889423 -0.865018
5.256 0.515056 0.51723 0.848136 0.855847 -0.88029 -0.855847
5.274 0.530241 0.53255 0.839093 0.846398 -0.870882 -0.846398
5.292 0.545262 0.547699 0.829822 0.836676 -0.861203 -0.836676
5.31 0.560113 0.562669 0.82032 0.826682 -0.851254 -0.826682
5.328 0.574792 0.577457 0.81059 0.816421 -0.841039 -0.816421
5.346 0.589293 0.592059 0.800629 0.805895 -0.830562 -0.805895
5.364 0.603613 0.606468 0.790439 0.795108 -0.819826 -0.795108
5.382 0.617748 0.620681 0.78002 0.784063 -0.808834 -0.784063
5.4 0.631692 0.634693 0.769371 0.772764 -0.797588 -0.772764
5.418 0.645444 0.648499 0.758492 0.761215 -0.786094 -0.761215
5.436 0.658997 0.662095 0.747384 0.74942 -0.774353 -0.74942
5.454 0.672348 0.675477 0.736046 0.737381 -0.762371 -0.737381
5.472 0.685493 0.688639 0.724479 0.725104 -0.75015 -0.725104
5.49 0.698428 0.701579 0.712682 0.712592 -0.737695 -0.712592
5.508 0.711148 0.714291 0.700656 0.699848 -0.725008 -0.699848
5.526 0.72365 0.726772 0.6884 0.686879 -0.712095 -0.686879
5.544 0.735929 0.739018 0.675914 0.673686 -0.698958 -0.673686
5.562 0.747982 0.751024 0.663199 0.660275 -0.685602 -0.660275
5.58 0.759803 0.762786 0.650254 0.646651 -0.672032 -0.646651
5.598 0.771389 0.774302 0.63708 0.632817 -0.658251 -0.632817
5.616 0.782736 0.785566 0.623677 0.618777 -0.644263 -0.618777
5.634 0.79384 0.796577 0.610043 0.604538 -0.630074 -0.604538
5.652 0.804697 0.807329 0.59618 0.590102 -0.615687 -0.590102
5.67 0.815301 0.817819 0.582088 0.575475 -0.601106 -0.575475
5.688 0.82565 0.828045 0.567766 0.560662 -0.586337 -0.560662
5.706 0.83574 0.838002 0.553215 0.545667 -0.571384 -0.545667
5.724 0.845565 0.847688 0.538434 0.530496 -0.556252 -0.530496
5.742 0.855122 0.857099 0.523423 0.515152 -0.540946 -0.515152
5.76 0.864407 0.866232 0.508183 0.499642 -0.52547 -0.499642
5.778 0.873415 0.875085 0.492713 0.48397 -0.509829 -0.48397
5.796 0.882143 0.883654 0.477014 0.468141 -0.494028 -0.468141
5.814 0.890586 0.891937 0.461085 0.45216 -0.478073 -0.45216
5.832 0.898741 0.899931 0.444927 0.436033 -0.461969 -0.436033
5.85 0.906602 0.907633 0.428539 0.419764 -0.44572 -0.419764
5.868 0.914167 0.915042 0.411921 0.40336 -0.429333 -0.40336
5.886 0.92143 0.922153 0.395074 0.386824 -0.412812 -0.386824
5.904 0.928388 0.928967 0.377998 0.370164 -0.396163 -0.370164
5.922 0.935037 0.935479 0.360692 0.353383 -0.379392 -0.353383
5.94 0.941371 0.941688 0.343156 0.336488 -0.362504 -0.336488
5.958 0.947389 0.947592 0.325391 0.319484 -0.345505 -0.319484
5.976 0.953084 0.953188 0.307396 0.302377 -0.3284 -0.302377
5.994 0.958454 0.958477 0.289171 0.285171 -0.311196 -0.285171
6.012 0.963493 0.963454 0.270778 0.267874 -0.293898 -0.267874
6.03 0.968202 0.968119 0.252413 0.250489 -0.276512 -0.250489
6.048 0.97258 0.972471 0.234091 0.233023 -0.259044 -0.233023
6.066 0.976629 0.976508 0.215812 0.215482 -0.241501 -0.215482
6.084 0.98035 0.980228 0.197577 0.197871 -0.223888 -0.197871
6.102 0.983742 0.983631 0.179384 0.180196 -0.20621 -0.180196
6.12 0.986808 0.986715 0.161235 0.162462 -0.188475 -0.162462
6.138 0.989547 0.989479 0.143129 0.144676 -0.170687 -0.144676
6.156 0.991961 0.991923 0.125067 0.126843 -0.152853 -0.126843
6.174 0.99405 0.994045 0.107047 0.108968 -0.134979 -0.108968
6.192 0.995815 0.995845 0.0890708 0.091059 -0.117069 -0.091059
6.21 0.997257 0.997323 0.0711378 0.07312 -0.0991311 -0.07312
6.228 0.998376 0.998478 0.053248 0.0551573 -0.0811699 -0.0551573
6.246 0.999174 0.999309 0.0354014 0.0371767 -0.0631915 -0.0371767
6.264 0.999651 0.999816 0.017598 0.0191841 -0.0452016 -0.0191841
6.282 0.999808 0.999999 -0.000162182 0.00118531 -0.027206 -0.00118531
6.3 0.999645 0.999859 -0.0178791 -0.0168139 -0.00921046 0.0168139
6.318 0.999164 0.999394 -0.0355528 -0.0348077 0.0087793 0.0348077
6.336 0.998365 0.998606 -0.0531833 -0.0527901 0.0267575 0.0527901
6.354 0.99725 0.997494 -0.0707706 -0.0707555 0.0447186 0.0707555
6.372 0.995818 0.996059 -0.0883147 -0.088698 0.0626566 0.088698
6.39 0.994071 0.994301 -0.105816 -0.106612 0.0805661 0.106612
6.408 0.992009 0.992221 -0.123273 -0.124491 0.0984413 0.124491
6.426 0.989633 0.989819 -0.140688 -0.14233 0.116277 0.14233
6.444 0.986944 0.987097 -0.158059 -0.160122 0.134066 0.160122
6.462 0.983943 0.984055 -0.175387 -0.177863 0.151805 0.177863
6.48 0.980631 0.980694 -0.192671 -0.195547 0.169486 0.195547
6.498 0.977007 0.977016 -0.209913 -0.213166 0.187106 0.213166
6.516 0.973074 0.973021 -0.227111 -0.230717 0.204657 0.230717
6.534 0.968832 0.968711 -0.244266 -0.248193 0.222134 0.248193
6.552 0.964281 0.964086 -0.261378 -0.265589 0.239533 0.265589
6.57 0.959422 0.95915 -0.278447 -0.282898 0.256847 0.282898
6.588 0.954257 0.953903 -0.295472 -0.300116 0.27407 0.300116
6.606 0.948786 0.948346 -0.312455 -0.317237 0.291198 0.317237
