# z  qspline(z)  sin(z)  qspline'(z)  cos(z)  qspline_integ(z)  1-cos(z)
6.408 0.0490119 0.124491 0.895551 0.992221 -0.00943503 0.00777925
6.426 0.0652038 0.14233 0.903544 0.989819 -0.0084073 0.0101807
6.444 0.0815395 0.160122 0.911536 0.987097 -0.00708683 0.0129028
6.462 0.0980191 0.177863 0.919529 0.984055 -0.00547102 0.0159448
6.48 0.114643 0.195547 0.927521 0.980694 -0.00355728 0.0193056
6.498 0.13141 0.213166 0.935514 0.977016 -0.00134302 0.0229841
6.516 0.148321 0.230717 0.943507 0.973021 0.00117434 0.0269791
6.534 0.165376 0.248193 0.951499 0.968711 0.0039974 0.0312895
6.552 0.182575 0.265589 0.959492 0.964086 0.00712874 0.0359136
6.57 0.199918 0.282898 0.967484 0.95915 0.010571 0.0408501
6.588 0.217404 0.300116 0.975477 0.953903 0.0143266 0.0460974
6.606 0.235035 0.317237 0.983469 0.948346 0.0183984 0.0516537
6.624 0.252809 0.334255 0.991462 0.942483 0.0227888 0.0575173
6.642 0.270728 0.351165 0.999454 0.936314 0.0275004 0.0636863
6.66 0.28879 0.367961 1.00745 0.929841 0.0325358 0.0701586
6.678 0.306996 0.384637 1.01544 0.923068 0.0378977 0.0769321
6.696 0.325346 0.401189 1.02343 0.915995 0.0435885 0.0840048
6.714 0.343839 0.417611 1.03142 0.908626 0.049611 0.0913742
6.732 0.362477 0.433898 1.03942 0.900962 0.0559676 0.099038
6.75 0.381258 0.450044 1.04741 0.893006 0.062661 0.106994
